排名,电影名,评分,评分人数,评语,导演,主演,上映日期,制片国家/地区,类型,封面,链接
1,肖申克的救赎,9.7,3010430,希望让人自由。,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.6,2224851,风华绝代。,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,https://movie.douban.com/subject/1291546/
3,阿甘正传,9.5,2242942,一部美国近现代史。,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,https://movie.douban.com/subject/1292720/
4,泰坦尼克号,9.5,2281179,失去的才是永恒的。 ,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,剧情 爱情 灾难,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,https://movie.douban.com/subject/1292722/
5,千与千寻,9.4,2328929,最好的宫崎骏，最好的久石让。 ,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,https://movie.douban.com/subject/1291561/
6,这个杀手不太冷,9.4,2372237,怪蜀黍和小萝莉不得不说的故事。,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情 动作 犯罪,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,https://movie.douban.com/subject/1295644/
7,美丽人生,9.5,1373331,最美的谎言。,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,https://movie.douban.com/subject/1292063/
8,星际穿越,9.4,1944063,爱是一种力量，让我们超越时空感知它的存在。,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情 科幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,https://movie.douban.com/subject/1889243/
9,盗梦空间,9.4,2146413,诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,https://movie.douban.com/subject/3541415/
10,楚门的世界,9.4,1799721,如果再也不能见到你，祝你早安，午安，晚安。,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,9.5,1160472,拯救一个人，就是拯救整个世界。,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,9.4,1441171,永远都不能忘记你所爱的人。,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,2009,美国 英国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,https://movie.douban.com/subject/3011091/
13,海上钢琴师,9.3,1735961,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,https://movie.douban.com/subject/1292001/
14,三傻大闹宝莱坞,9.2,1925020,英俊版憨豆，高情商版谢耳朵。,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,https://movie.douban.com/subject/3793023/
15,放牛班的春天,9.3,1362532,天籁一般的童声，是最接近上帝的存在。 ,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,https://movie.douban.com/subject/1291549/
16,机器人总动员,9.3,1366698,小瓦力，大人生。,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,https://movie.douban.com/subject/2131459/
17,疯狂动物城,9.2,2035179,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,美国,喜剧 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,https://movie.douban.com/subject/25662329/
18,无间道,9.3,1427253,香港电影史上永不过时的杰作。,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,https://movie.douban.com/subject/1307914/
19,控方证人,9.6,607212,比利·怀德满分作品。,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,https://movie.douban.com/subject/1296141/
20,大话西游之大圣娶亲,9.2,1587433,一生所爱。,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,https://movie.douban.com/subject/1292213/
21,熔炉,9.4,965409,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,https://movie.douban.com/subject/5912992/
22,教父,9.3,1009610,千万不要记恨你的对手，这样会让你失去理智。,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972,美国,剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,https://movie.douban.com/subject/1291841/
23,触不可及,9.3,1171353,满满温情的高雅喜剧。,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,主...,2011,法国,剧情 喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,https://movie.douban.com/subject/6786002/
24,当幸福来敲门,9.2,1572534,平民励志片。 ,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,https://movie.douban.com/subject/1849031/
25,寻梦环游记,9.1,1767170,死亡不是真的逝去，遗忘才是永恒的消亡。,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017,美国,喜剧 动画 奇幻 音乐,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg,https://movie.douban.com/subject/20495023/
26,末代皇帝,9.3,930319,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,https://movie.douban.com/subject/1293172/
27,龙猫,9.2,1312366,人人心中都有个龙猫，童年就永远不会消失。,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,https://movie.douban.com/subject/1291560/
28,怦然心动,9.1,1900405,真正的幸福是来自内心深处。,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,https://movie.douban.com/subject/3319755/
29,活着,9.3,885918,张艺谋最好的电影。,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 中国香港,剧情 历史 家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,https://movie.douban.com/subject/1292365/
30,哈利·波特与魔法石,9.2,1254360,童话世界的开端。,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,https://movie.douban.com/subject/1295038/
31,蝙蝠侠：黑暗骑士,9.2,1104307,无尽的黑暗。,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,9.3,837132,史诗的终章。,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 新西兰,剧情 动作 奇幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,https://movie.douban.com/subject/1291552/
33,我不是药神,9.0,2183609,对我们国家而言，这样的电影多一部是一部。,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情 喜剧,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,https://movie.douban.com/subject/26752088/
34,乱世佳人,9.3,719983,Tomorrow is another day.,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,1939,美国,剧情 历史 爱情 战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,https://movie.douban.com/subject/1300267/
35,飞屋环游记,9.1,1379649,最后那些最无聊的事情，才是最值得怀念的。 ,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009,美国,剧情 喜剧 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg,https://movie.douban.com/subject/2129039/
36,素媛,9.3,715630,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,https://movie.douban.com/subject/21937452/
37,哈尔的移动城堡,9.1,1075901,带着心爱的人在天空飞翔。,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,爱情 动画 奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2904111050.jpg,https://movie.douban.com/subject/1308807/
38,十二怒汉,9.4,517604,1957年的理想主义。 ,Sidney Lumet,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,https://movie.douban.com/subject/1293182/
39,让子弹飞,9.0,1768451,你给我翻译翻译，神马叫做TMD的惊喜。,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,https://movie.douban.com/subject/3742360/
40,何以为家,9.1,1084427,凝视卑弱生命，用电影改变命运。,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,https://movie.douban.com/subject/30170448/
41,摔跤吧！爸爸,9.0,1623421,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 传记 运动 家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,https://movie.douban.com/subject/26387939/
42,猫鼠游戏,9.1,1082315,骗子大师和执著警探的你追我跑故事。 ,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记 犯罪 剧情,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,https://movie.douban.com/subject/1305487/
43,天空之城,9.2,919338,对天空的追逐，永不停止。 ,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg,https://movie.douban.com/subject/1291583/
44,海蒂和爷爷,9.3,664671,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,2015,德国 瑞士,剧情 冒险 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,https://movie.douban.com/subject/25958717/
45,鬼子来了,9.3,653632,对敌人的仁慈，就是对自己残忍。,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 喜剧,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,https://movie.douban.com/subject/1291858/
46,少年派的奇幻漂流,9.1,1394268,瑰丽壮观、无人能及的冒险之旅。,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,https://movie.douban.com/subject/1929463/
47,钢琴家,9.3,674999,音乐能化解仇恨。,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg,https://movie.douban.com/subject/1296736/
48,大话西游之月光宝盒,9.0,1264536,旷古烁今。,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,https://movie.douban.com/subject/1299398/
49,指环王2：双塔奇兵,9.2,786040,承前启后的史诗篇章。,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情 动作 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,https://movie.douban.com/subject/1291572/
50,闻香识女人,9.1,929014,史上最美的探戈。,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,https://movie.douban.com/subject/1298624/
51,死亡诗社,9.2,768135,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,https://movie.douban.com/subject/1291548/
52,绿皮书,8.9,1723716,去除成见，需要勇气。,彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,2018,美国 中国大陆,剧情 喜剧 传记 音乐,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,https://movie.douban.com/subject/27060077/
53,大闹天宫,9.4,460132,经典之作，历久弥新。,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961,中国大陆,剧情 动画 奇幻 古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,https://movie.douban.com/subject/1418019/
54,罗马假日,9.1,980815,爱情哪怕只有一天。,威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,https://movie.douban.com/subject/1293839/
55,指环王1：护戒使者,9.1,882404,传说的开始。,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国,剧情 动作 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg,https://movie.douban.com/subject/1291571/
56,黑客帝国,9.1,870302,视觉革命。,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,主...,1999,美国,动作 科幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,https://movie.douban.com/subject/1291843/
57,天堂电影院,9.2,698581,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,1988,意大利 法国,剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,https://movie.douban.com/subject/1291828/
58,教父2,9.3,578689,优雅的孤独。,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1974,美国,剧情 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,https://movie.douban.com/subject/1299131/
59,狮子王,9.1,881485,动物版《哈姆雷特》。,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,1994,美国,动画 冒险 歌舞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,https://movie.douban.com/subject/1301753/
60,辩护人,9.2,612496,电影的现实意义大过电影本身。,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,https://movie.douban.com/subject/21937445/
61,饮食男女,9.2,650343,人生不能像做菜，把所有的料都准备好了才下锅。,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情 家庭,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,https://movie.douban.com/subject/1291818/
62,搏击俱乐部,9.0,881817,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情 动作 悬疑 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,https://movie.douban.com/subject/1292000/
63,本杰明·巴顿奇事,9.0,1022159,在时间之河里感受溺水之苦。,大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情 爱情 奇幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,https://movie.douban.com/subject/1485260/
64,美丽心灵,9.1,797314,爱是一切逻辑和原由。,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,9.2,591271,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,https://movie.douban.com/subject/3008247/
66,窃听风暴,9.2,586379,别样人生。,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,德国,剧情 悬疑,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,https://movie.douban.com/subject/1900841/
67,情书,8.9,1168935,暗恋的极致。,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,https://movie.douban.com/subject/1292220/
68,两杆大烟枪,9.1,619383,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情 喜剧 犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,https://movie.douban.com/subject/1293350/
69,西西里的美丽传说,8.9,1013490,美丽无罪。,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,https://movie.douban.com/subject/1292402/
70,音乐之声,9.1,628102,用音乐化解仇恨，让歌声串起美好。,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 传记 爱情 歌舞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,https://movie.douban.com/subject/1294408/
71,看不见的客人,8.8,1326522,你以为你以为的就是你以为的。,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,https://movie.douban.com/subject/26580232/
72,哈利·波特与死亡圣器(下),9.0,871431,10年的完美句点。,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,https://movie.douban.com/subject/3011235/
73,阿凡达,8.8,1471770,绝对意义上的美轮美奂。,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 科幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,https://movie.douban.com/subject/1652587/
74,拯救大兵瑞恩,9.1,671993,美利坚精神输出大片No1.,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 战争,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,https://movie.douban.com/subject/1292849/
75,飞越疯人院,9.1,565777,自由万岁。,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,https://movie.douban.com/subject/1292224/
76,小鞋子,9.2,427110,奔跑的孩子是天使。,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情 儿童 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,https://movie.douban.com/subject/1303021/
77,功夫,8.8,1197138,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,https://movie.douban.com/subject/1291543/
78,沉默的羔羊,8.9,929470,安东尼·霍普金斯的顶级表演。,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 犯罪 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,https://movie.douban.com/subject/1293544/
79,布达佩斯大饭店,8.9,987134,小清新的故事里注入了大历史的情怀。,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情 喜剧 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg,https://movie.douban.com/subject/11525673/
80,禁闭岛,8.9,1020813,昔日翩翩少年，今日大腹便便。,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 悬疑 惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,https://movie.douban.com/subject/2334904/
81,蝴蝶效应,8.9,976952,人的命运被自己瞬间的抉择改变。,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,主...,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,https://movie.douban.com/subject/1292343/
82,哈利·波特与阿兹卡班的囚徒,9.0,774607,不一样的导演，不一样的哈利·波特。,Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004,英国 美国,奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,https://movie.douban.com/subject/1291544/
83,致命魔术,8.9,894298,孪生蝙蝠侠大战克隆金刚狼。,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,2006,英国 美国,剧情 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,https://movie.douban.com/subject/1780330/
