排名,电影名,评分,评分人数,评语,导演,主演,上映日期,制片国家/地区,类型,封面,链接
167,心迷宫,8.8,551802,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,https://movie.douban.com/subject/25917973/
168,疯狂原始人,8.7,866167,老少皆宜，这就是好莱坞动画的魅力。,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演...,2013,美国,喜剧 动画 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,https://movie.douban.com/subject/1907966/
169,谍影重重3,8.8,434411,像吃了苏打饼一样干脆的电影。,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2007,美国 德国 法国 英国,动作 悬疑 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,https://movie.douban.com/subject/1578507/
170,小丑,8.7,1046809,无,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国 加拿大,剧情 犯罪 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg,https://movie.douban.com/subject/27119724/
171,英雄本色,8.6,562428,英雄泪短，兄弟情长。 ,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,https://movie.douban.com/subject/1297574/
172,上帝之城,9.0,310481,被上帝抛弃了的上帝之城。,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西 法国,犯罪 剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,https://movie.douban.com/subject/1292208/
173,风之谷,8.9,367228,动画片的圣经。,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,https://movie.douban.com/subject/1291585/
174,绿里奇迹,8.9,349299,天使暂时离开。,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪 剧情 奇幻 悬疑,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,https://movie.douban.com/subject/1300374/
175,爱在午夜降临前,8.9,424194,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2013,美国 希腊,剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,https://movie.douban.com/subject/10808442/
176,海街日记,8.8,470077,是枝裕和的家庭习作。,是枝裕和 Hirokazu Koreeda,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,https://movie.douban.com/subject/25895901/
177,纵横四海,8.8,442677,香港浪漫主义警匪动作片的巅峰之作。,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg,https://movie.douban.com/subject/1295409/
178,心灵奇旅,8.7,1031191,无,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,2020,美国,动画 奇幻 音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595591069.jpg,https://movie.douban.com/subject/24733428/
179,卢旺达饭店,8.9,342385,当这个世界闭上双眼，他却敞开了怀抱。,特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,https://movie.douban.com/subject/1291822/
180,背靠背，脸对脸,9.5,146714,无,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华 Zhenhua N...,1994,中国大陆 中国香港,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg,https://movie.douban.com/subject/1307856/
181,疯狂的石头,8.6,857820,中国版《两杆大烟枪》。,宁浩 Hao Ning,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 中国香港,喜剧 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,https://movie.douban.com/subject/1862151/
182,记忆碎片,8.7,625445,一个针管引发的血案。,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,https://movie.douban.com/subject/1304447/
183,2001太空漫游,8.9,350231,现代科幻电影的开山之作，最伟大导演的最伟大影片。,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉 Keir Dullea / ...,1968,英国 美国,科幻 惊悚 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg,https://movie.douban.com/subject/1292226/
184,雨中曲,9.1,238747,骨灰级歌舞片。,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·...,1952,美国,喜剧 歌舞 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,https://movie.douban.com/subject/1293460/
185,无间道2,8.7,507273,无,刘伟强 / 麦兆辉,陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...,2003,中国香港,剧情 犯罪 惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,https://movie.douban.com/subject/1307106/
186,岁月神偷,8.7,587114,岁月流逝，来日可追。,罗启锐 Alex Law,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,https://movie.douban.com/subject/3792799/
187,小偷家族,8.7,841413,我们组成了家。,是枝裕和 Hirokazu Koreeda,中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 犯罪 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,https://movie.douban.com/subject/27622447/
188,无敌破坏王,8.7,564963,迪士尼和皮克斯拿错剧本的产物。,瑞奇·莫尔 Rich Moore,约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,https://movie.douban.com/subject/6534248/
189,忠犬八公物语,9.2,203315,养狗三日，便会对你终其一生。,神山征二郎 Seijirô Kôyama,仲代达矢 Tatsuya Nakadai /...,1987,日本,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.jpg,https://movie.douban.com/subject/1959195/
190,荒蛮故事,8.8,459903,始于荒诞，止于更荒诞。,达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg,https://movie.douban.com/subject/24750126/
191,冰川时代,8.6,639793,松鼠才是角儿。,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,主演...,2002,美国,喜剧 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,https://movie.douban.com/subject/1291578/
192,爆裂鼓手,8.7,614053,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,达米恩·查泽雷 Damien Chazelle,迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,https://movie.douban.com/subject/25773932/
193,恐怖游轮,8.5,904617,不要企图在重复中寻找已经失去的爱。,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,剧情 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,https://movie.douban.com/subject/3011051/
194,牯岭街少年杀人事件,8.9,321009,弱者送给弱者的一刀。,杨德昌 Edward Yang,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,https://movie.douban.com/subject/1292329/
195,东京教父,9.0,249145,无,今敏 Satoshi Kon,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情 喜剧 动画,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg,https://movie.douban.com/subject/1310177/
196,魔女宅急便,8.7,480157,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,宫崎骏 Hayao Miyazaki,高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,https://movie.douban.com/subject/1307811/
197,大佛普拉斯,8.7,492599,人们可以登上月球，却永远无法探索人们内心的宇宙。,黄信尧 Hsin-yao Huang,庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情 喜剧,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg,https://movie.douban.com/subject/27059130/
198,贫民窟的百万富翁,8.6,766452,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫...,2008,英国,剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,https://movie.douban.com/subject/2209573/
199,遗愿清单,8.7,485996,用剩余不多的时间，去燃烧整个生命。,罗伯·莱纳 Rob Reiner,杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.jpg,https://movie.douban.com/subject/1867345/
200,东邪西毒,8.6,595419,电影诗。,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,https://movie.douban.com/subject/1292328/
201,你看起来好像很好吃,8.9,346067,感情不分食草或者食肉。,藤森雅也 Masaya Fujimori,山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情 动画 儿童,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,https://movie.douban.com/subject/4848115/
202,可可西里,8.9,315751,坚硬的信仰。,陆川 Chuan Lu,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 中国香港,剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,https://movie.douban.com/subject/1308857/
203,城市之光,9.3,154922,永远的小人物，伟大的卓别林。,Charles Chaplin,查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,美国,喜剧 剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,https://movie.douban.com/subject/1293908/
204,黑天鹅,8.6,802214,黑暗之美。,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,https://movie.douban.com/subject/1978709/
205,源代码,8.5,863341,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,科幻 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,https://movie.douban.com/subject/3075287/
206,末路狂花,8.9,281777,没有了退路，只好飞向自由。,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏...,1991,美国 英国 法国,犯罪 剧情 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg,https://movie.douban.com/subject/1291992/
207,海边的曼彻斯特,8.6,578485,我们都有权利不与自己的过去和解。,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg,https://movie.douban.com/subject/25980443/
208,真爱至上,8.5,760113,爱，是个动词。,理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant / 连姆...,2003,英国 美国 法国,喜剧 剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,https://movie.douban.com/subject/1292401/
209,波西米亚狂想曲,8.6,632430,无,布莱恩·辛格 Bryan Singer,拉米·马雷克 Rami Malek / 本·哈...,2018,英国 美国,剧情 传记 同性 音乐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,https://movie.douban.com/subject/5300054/
210,雨人,8.7,416624,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg,https://movie.douban.com/subject/1291870/
211,青蛇,8.6,547351,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,徐克 Hark Tsui,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg,https://movie.douban.com/subject/1303394/
212,初恋这件小事,8.5,1002721,黑小鸭速效美白记。,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,泰国,剧情 喜剧 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,https://movie.douban.com/subject/4739952/
213,爱乐之城,8.4,987113,无,达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情 爱情 歌舞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901102612.jpg,https://movie.douban.com/subject/25934014/
214,人工智能,8.7,463679,对爱的执着，可以超越一切。,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,2001,美国 英国,剧情 科幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,https://movie.douban.com/subject/1302827/
215,疯狂的麦克斯4：狂暴之路,8.7,552491,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,乔治·米勒 George Miller,汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚 美国,动作 科幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,https://movie.douban.com/subject/3592854/
216,终结者2：审判日,8.8,354523,少见的超越首部的续集，动作片中的经典。,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,https://movie.douban.com/subject/1291844/
217,恋恋笔记本,8.5,696987,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,https://movie.douban.com/subject/1309163/
218,虎口脱险,8.9,269280,永远看不腻的喜剧。,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,1966,法国 英国,喜剧 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,https://movie.douban.com/subject/1296909/
219,芙蓉镇,9.3,154337,无,谢晋 Jin Xie,刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,中国大陆,剧情 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174804034.jpg,https://movie.douban.com/subject/1297880/
220,新龙门客栈,8.7,463410,嬉笑怒骂，调风动月。,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港 中国大陆,动作 爱情 武侠 古装,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,https://movie.douban.com/subject/1292287/
221,罗生门,8.8,328297,人生的N种可能性。,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情 犯罪 悬疑,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg,https://movie.douban.com/subject/1291879/
222,无耻混蛋,8.7,501020,昆汀同学越来越变态了，比北野武还杜琪峰。,昆汀·塔伦蒂诺 Quentin Tarantino,布拉德·皮特 Brad Pitt / ...,2009,德国 美国,剧情 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1086394013.jpg,https://movie.douban.com/subject/1438652/
223,崖上的波妞,8.6,523109,无,宫崎骏 Hayao Miyazaki,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画 奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg,https://movie.douban.com/subject/1959877/
224,花束般的恋爱,8.6,684458,无,土井裕泰 Nobuhiro Doi,菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg,https://movie.douban.com/subject/34874432/
225,千钧一发,8.8,315673,一部能引人思考的科幻励志片。,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg,https://movie.douban.com/subject/1300117/
226,彗星来的那一夜,8.6,612728,小成本大魅力。,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg,https://movie.douban.com/subject/25807345/
227,哈利·波特与死亡圣器(上),8.5,610188,最忠于原著的一部。,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国 美国,奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p721429854.jpg,https://movie.douban.com/subject/2051007/
228,萤火虫之墓,8.7,415304,幸福是生生不息，却难以触及的远。 ,高畑勋 Isao Takahata,辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画 剧情 战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,https://movie.douban.com/subject/1293318/
229,奇迹男孩,8.6,567517,世界不完美，爱会有奇迹。,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,https://movie.douban.com/subject/26787574/
230,黑客帝国2：重装上阵,8.7,421403,一个精彩的世界观正在缓缓建立。,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作 科幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg,https://movie.douban.com/subject/1304141/
231,高山下的花环,9.5,105958,无,谢晋 Jin Xie,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984,中国大陆,剧情 战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.jpg,https://movie.douban.com/subject/1422283/
232,白日梦想家,8.6,534562,无,本·斯蒂勒 Ben Stiller,本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国 英国,剧情 喜剧 冒险,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.jpg,https://movie.douban.com/subject/2133323/
233,二十二,8.7,299368,有一些东西不应该被遗忘。,郭柯 Ke Guo,主演:,2015,中国大陆,纪录片,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,https://movie.douban.com/subject/26430107/
234,火星救援,8.5,764632,无,雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon / 杰西卡...,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2264592493.jpg,https://movie.douban.com/subject/25864085/
235,战争之王,8.7,383350,做一颗让别人需要你的棋子。,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 德国,剧情 犯罪,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg,https://movie.douban.com/subject/1419936/
236,血钻,8.7,394169,每个美丽事物背后都是滴血的现实。,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情 惊悚 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,https://movie.douban.com/subject/1428175/
237,步履不停,8.8,292148,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg,https://movie.douban.com/subject/2222996/
238,千年女优,8.8,284285,爱情是一场没有尽头的虚幻追逐。,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画 剧情 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.jpg,https://movie.douban.com/subject/1307394/
239,房间,8.8,378499,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,https://movie.douban.com/subject/25724855/
240,哈利·波特与凤凰社,8.5,605481,无,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2007,英国 美国,奇幻 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443403700.jpg,https://movie.douban.com/subject/1457217/
241,魂断蓝桥,8.8,289056,中国式内在的美国电影。,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,https://movie.douban.com/subject/1293964/
242,谍影重重2,8.7,366949,谁说王家卫镜头很晃？,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,https://movie.douban.com/subject/1308767/
243,大红灯笼高高挂,8.8,302068,无,张艺谋 Yimou Zhang,巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,1991,中国大陆 中国香港 中国台湾,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.jpg,https://movie.douban.com/subject/1293323/
244,蜘蛛侠：平行宇宙,8.6,698210,无,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,主...,2018,美国,动作 科幻 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.jpg,https://movie.douban.com/subject/26374197/
245,弱点,8.7,325736,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,约翰·李·汉考克 John Lee Hancock,桑德拉·布洛克 Sandra Bu...,2009,美国,剧情 家庭 传记 运动,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2577248102.jpg,https://movie.douban.com/subject/3552028/
246,谍影重重,8.6,445763,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,道格·里曼 Doug Liman,马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,https://movie.douban.com/subject/1304102/
247,阿飞正传,8.5,531395,王家卫是一种风格，张国荣是一个代表。,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,中国香港,犯罪 剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,https://movie.douban.com/subject/1305690/
248,朗读者,8.6,465152,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,史蒂芬·戴德利 Stephen Daldry,凯特·温丝莱特 Kate Winslet ...,2008,美国 德国,剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,https://movie.douban.com/subject/2213597/
249,再次出发之纽约遇见你,8.6,441685,爱我就给我看你的播放列表。,约翰·卡尼 John Carney,凯拉·奈特莉 Keira Knightley / 马克...,2013,美国,喜剧 爱情 音乐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg,https://movie.douban.com/subject/6874403/
250,燃情岁月,8.7,297208,传奇，不是每个人都可以拥有。,爱德华·兹威克 Edward Zwick,布拉德·皮特 Brad Pitt / 安东...,1994,美国,剧情 爱情 战争 西部,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2797313535.jpg,https://movie.douban.com/subject/1295865/
